オーダーID,オーダー日,顧客ID,商品ID,数量,売上,出荷日,キャンセル日,ステータス,氏名,ひらがな,生年月日,性別,都道府県,商品名,カテゴリ,サブカテゴリ,色,サイズ,定価
201901010005-1,2019-01-01,C00002159,TB-BUNN,1,9800,2019-01-01,,配達済み,竹田 朋実,たけだ ともみ,1995-07-01,女,東京都,トートバッグ B,バッグ,Unisex,,,9800
201901010001-1,2019-01-01,C00000112,TO-AUNN,1,2280,2019-01-04,,配達済み,小川 幸枝,おがわ ゆきえ,1991-06-13,女,神奈川県,タオル A,小物,Unisex,,,2280
201901010005-2,2019-01-01,C00002159,PA-BMBS,1,20000,2019-01-02,,配達済み,竹田 朋実,たけだ ともみ,1995-07-01,女,東京都,Men Black パンツ B S,ボトムス,Men,Black,S,20000
201901010004-1,2019-01-01,C00001710,BP-BUNN,1,9800,2019-01-01,,配達済み,植田 陽一,うえだ よういち,1995-06-23,男,東京都,バックパック B,バッグ,Unisex,,,9800
201901020019-2,2019-01-02,C00001925,PA-AMBL,1,16500,2019-01-07,,配達済み,原田 由香,はらだ ゆか,1975-10-12,女,大阪府,Men Black パンツ A L,ボトムス,Men,Black,L,16500
201901020016-1,2019-01-02,C00001884,BP-AUNN,1,10200,2019-01-07,,配達済み,諸江 尚子,もろえ なおこ,1984-06-09,女,東京都,バックパック A,バッグ,Unisex,,,10200
201901020004-1,2019-01-02,C00000906,TS-BWBM,1,7600,2019-01-10,,配達済み,村瀬 雄二,むらせ ゆうじ,1977-04-24,男,愛知県,Women Black Tシャツ B M,トップス,Women,Black,M,7600
201901020003-1,2019-01-02,C00000803,PA-CMWL,1,14300,2019-01-07,,配達済み,上田 愛子,うえだ あいこ,1978-09-19,女,東京都,Men White パンツ C L,ボトムス,Men,White,L,14300
201901020010-2,2019-01-02,C00001083,NI-BMBS,1,14500,2019-01-05,,配達済み,青木 麻子,あおき あさこ,2003-07-18,女,東京都,Men Black ニット B S,トップス,Men,Black,S,14500
201901020010-1,2019-01-02,C00001083,HC-BUNN,1,980,2019-01-07,,配達済み,青木 麻子,あおき あさこ,2003-07-18,女,東京都,ハンカチ B,小物,Unisex,,,980
201901020009-1,2019-01-02,C00001079,PA-CMBM,1,14300,2019-01-05,,配達済み,長谷川 まみ,はせがわ まみ,1986-10-07,女,神奈川県,Men Black パンツ C M,ボトムス,Men,Black,M,14300
201901020011-1,2019-01-02,C00001670,TS-AMGL,1,7900,2019-01-06,,配達済み,小池 祥江,こいけ よしえ,1979-12-02,女,東京都,Men Gray Tシャツ A L,トップス,Men,Gray,L,7900
201901020015-1,2019-01-02,C00001743,NI-AMWM,1,10000,2019-01-04,,配達済み,平山 彩乃,ひらやま あやの,1994-01-07,女,福岡県,Men White ニット A M,トップス,Men,White,M,10000
201901020019-1,2019-01-02,C00001925,PA-CMGS,1,14300,2019-01-07,,配達済み,原田 由香,はらだ ゆか,1975-10-12,女,大阪府,Men Gray パンツ C S,ボトムス,Men,Gray,S,14300
201901020019-3,2019-01-02,C00001925,SW-BMGL,1,15900,2019-01-06,,配達済み,原田 由香,はらだ ゆか,1975-10-12,女,大阪府,Men Gray セーター B L,トップス,Men,Gray,L,15900
201901020002-1,2019-01-02,C00000525,NI-CWGS,1,12400,2019-01-04,,配達済み,服部 哲也,はっとり てつや,1979-03-24,男,東京都,Women Gray ニット C S,トップス,Women,Gray,S,12400
201901020000-1,2019-01-02,C00000469,SK-BWWS,1,14100,2019-01-04,,配達済み,高島 聡志,たかしま さとし,1985-08-27,男,宮城県,Women White スカート B S,ボトムス,Women,White,S,14100
201901040000-1,2019-01-04,C00000524,CT-AMGS,1,39600,2019-01-06,,配達済み,佐藤 鉄平,さとう てっぺい,2001-07-18,男,東京都,Men Gray コート A S,アウター,Men,Gray,S,39600
201901050011-1,2019-01-05,C00000945,TS-BWBL,1,7600,2019-01-08,,配達済み,廣江 勝,ひろえ まさる,1998-05-14,男,東京都,Women Black Tシャツ B L,トップス,Women,Black,L,7600
201901050007-1,2019-01-05,C00000845,SW-BMGM,1,15900,2019-01-07,,配達済み,福島 正子,ふくしま まさこ,1987-06-19,女,東京都,Men Gray セーター B M,トップス,Men,Gray,M,15900
201901050021-1,2019-01-05,C00001767,NI-BMWS,1,14500,2019-01-08,,配達済み,渡部 愛,わたなべ あい,2001-08-08,女,宮城県,Men White ニット B S,トップス,Men,White,S,14500
201901050023-1,2019-01-05,C00001807,PA-CMWM,1,14300,2019-01-09,,配達済み,佐藤 実穂,さとう みほ,1977-02-23,女,東京都,Men White パンツ C M,ボトムス,Men,White,M,14300
201901050009-1,2019-01-05,C00000871,PA-BWGM,1,19800,2019-01-09,,配達済み,高橋 正一,たかはし しょういち,1988-08-02,男,千葉県,Women Gray パンツ B M,ボトムス,Women,Gray,M,19800
201901050004-2,2019-01-05,C00000632,HC-BUNN,1,980,2019-01-08,,配達済み,新井 佑実子,あらい ゆみこ,1980-12-11,女,東京都,ハンカチ B,小物,Unisex,,,980
201901050016-1,2019-01-05,C00001373,HC-BUNN,1,980,2019-01-06,,配達済み,長澤 美和,ながさわ みわ,1998-02-16,女,東京都,ハンカチ B,小物,Unisex,,,980
201901050018-1,2019-01-05,C00001432,SW-CMGS,1,18400,2019-01-07,,配達済み,藤田 陽子,ふじた ようこ,1998-03-20,女,東京都,Men Gray セーター C S,トップス,Men,Gray,S,18400
201901050004-1,2019-01-05,C00000632,SW-BMBS,1,15900,2019-01-07,,配達済み,新井 佑実子,あらい ゆみこ,1980-12-11,女,東京都,Men Black セーター B S,トップス,Men,Black,S,15900
201901050020-1,2019-01-05,C00001606,TS-CWGS,1,7600,2019-01-07,,配達済み,塚原 和浩,つかはら かずひろ,1986-11-04,男,東京都,Women Gray Tシャツ C S,トップス,Women,Gray,S,7600
201901050001-1,2019-01-05,C00000351,SK-BWWM,1,14100,2019-01-07,,配達済み,青木 雅之,あおき まさゆき,1986-04-07,男,大阪府,Women White スカート B M,ボトムス,Women,White,M,14100
201901050005-1,2019-01-05,C00000779,CT-CMBS,1,30800,2019-01-06,,配達済み,槇野 滋子,まきの あさこ,1986-06-14,女,東京都,Men Black コート C S,アウター,Men,Black,S,30800
201901050019-1,2019-01-05,C00001482,TB-AUNN,1,7800,2019-01-07,,配達済み,岡田 純子,おかだ じゅんこ,2007-04-29,女,千葉県,トートバッグ A,バッグ,Unisex,,,7800
201901050017-1,2019-01-05,C00001406,PA-CWGM,1,14300,2019-01-06,,配達済み,梶 恭子,かじ きょうこ,1986-01-18,女,東京都,Women Gray パンツ C M,ボトムス,Women,Gray,M,14300
201901070013-1,2019-01-07,C00001445,SW-BMGL,1,15900,2019-01-14,,配達済み,藤牧 諒介,ふじまき りょうすけ,1996-11-07,男,東京都,Men Gray セーター B L,トップス,Men,Gray,L,15900
201901070014-1,2019-01-07,C00001573,NI-BMGM,1,14500,2019-01-11,,配達済み,高崎 優,たかさき ゆう,1990-12-01,男,岐阜県,Men Gray ニット B M,トップス,Men,Gray,M,14500
201901070005-1,2019-01-07,C00000551,PA-CWGL,1,14300,2019-01-13,,配達済み,小林 真奈美,こばやし まなみ,1992-06-18,女,埼玉県,Women Gray パンツ C L,ボトムス,Women,Gray,L,14300
201901070008-1,2019-01-07,C00001227,PA-BMBS,1,20000,2019-01-12,,配達済み,青木 俊晴,あおき としはる,1978-09-13,男,東京都,Men Black パンツ B S,ボトムス,Men,Black,S,20000
201901070006-1,2019-01-07,C00000604,PA-AMBL,1,16500,2019-01-12,,配達済み,平本 明生,ひらもと あきお,1996-09-28,男,神奈川県,Men Black パンツ A L,ボトムス,Men,Black,L,16500
201901070015-1,2019-01-07,C00001989,BP-CUNN,1,12900,2019-01-13,,配達済み,小野寺 さやか,おのでら さやか,1973-07-12,女,北海道,バックパック C,バッグ,Unisex,,,12900
201901070002-1,2019-01-07,C00000094,CT-AWGS,1,41200,2019-01-14,,配達済み,鈴木 真理子,すずき まりこ,2001-08-18,女,愛知県,Women Gray コート A S,アウター,Women,Gray,S,41200
201901070007-1,2019-01-07,C00001199,SB-AUNN,1,8800,2019-01-11,,配達済み,武田 楓,たけだ ふう,1996-04-19,女,大阪府,ショルダーバッグ A,バッグ,Unisex,,,8800
201901090008-2,2019-01-09,C00001189,PA-BWGS,1,19800,2019-01-14,,配達済み,栗原 里沙,くりはら りさ,1977-08-26,女,東京都,Women Gray パンツ B S,ボトムス,Women,Gray,S,19800
201901090014-1,2019-01-09,C00001219,HA-AUNN,1,5280,2019-01-15,,配達済み,吉澤 恒太,よしざわ こうた,1997-11-22,男,兵庫県,帽子 A,小物,Unisex,,,5280
201901090011-1,2019-01-09,C00001214,PA-BMGS,1,20000,2019-01-12,,配達済み,大竹 裕介,おおたけ ゆうすけ,2005-10-10,男,東京都,Men Gray パンツ B S,ボトムス,Men,Gray,S,20000
201901090003-1,2019-01-09,C00000672,SK-AWBS,1,18100,2019-01-13,,配達済み,芹澤 ともこ,せりざわ ともこ,1988-03-02,女,群馬県,Women Black スカート A S,ボトムス,Women,Black,S,18100
201901090007-1,2019-01-09,C00000926,SK-AWWL,3,54300,2019-01-15,,配達済み,木村 千鶴,きむら ちづる,1987-08-28,女,神奈川県,Women White スカート A L,ボトムス,Women,White,L,18100
201901090005-1,2019-01-09,C00000833,PA-AMWM,1,16500,2019-01-13,,配達済み,丸井 正則,まるい まさのり,1984-10-16,男,東京都,Men White パンツ A M,ボトムス,Men,White,M,16500
201901090002-1,2019-01-09,C00000342,NI-CWGS,2,24800,2019-01-15,,配達済み,藤原 麻衣子,ふじわら まいこ,1988-11-16,女,東京都,Women Gray ニット C S,トップス,Women,Gray,S,12400
201901090008-1,2019-01-09,C00001189,TS-AWGL,1,8900,2019-01-15,,配達済み,栗原 里沙,くりはら りさ,1977-08-26,女,東京都,Women Gray Tシャツ A L,トップス,Women,Gray,L,8900
201901090001-1,2019-01-09,C00000028,PA-BWWL,2,39600,2019-01-14,,配達済み,齋藤 なつき,さいとう なつき,1975-06-02,女,東京都,Women White パンツ B L,ボトムス,Women,White,L,19800
201901100006-1,2019-01-10,C00000856,BP-CUNN,1,12900,2019-01-16,,配達済み,渡部 ひとみ,わたなべ ひとみ,2007-04-21,女,東京都,バックパック C,バッグ,Unisex,,,12900
201901100005-1,2019-01-10,C00000766,TO-BUNN,1,2180,2019-01-13,,配達済み,小川 友希,おがわ ゆき,2002-04-25,女,兵庫県,タオル B,小物,Unisex,,,2180
201901100006-2,2019-01-10,C00000856,TS-CWWS,1,7600,2019-01-14,,配達済み,渡部 ひとみ,わたなべ ひとみ,2007-04-21,女,東京都,Women White Tシャツ C S,トップス,Women,White,S,7600
201901100003-1,2019-01-10,C00000591,TS-AWBM,1,8900,2019-01-14,,配達済み,奥村 香里,おくむら かおり,2007-02-08,女,神奈川県,Women Black Tシャツ A M,トップス,Women,Black,M,8900
201901100002-1,2019-01-10,C00000387,TO-BUNN,1,2180,2019-01-14,,配達済み,長井 清明,ながい きよあき,1986-11-24,男,福岡県,タオル B,小物,Unisex,,,2180
201901100017-1,2019-01-10,C00001774,SK-AWGL,1,18100,2019-01-16,,配達済み,岩佐 和代,いわさ かずよ,1972-07-20,女,兵庫県,Women Gray スカート A L,ボトムス,Women,Gray,L,18100
201901100016-1,2019-01-10,C00001457,TB-AUNN,1,7800,2019-01-13,,配達済み,川口 葉子,かわぐち ようこ,1993-03-08,女,石川県,トートバッグ A,バッグ,Unisex,,,7800
201901100012-1,2019-01-10,C00001449,TS-AWGS,1,8900,2019-01-16,,配達済み,榊原 智美,さかきばら ともみ,1979-12-10,女,東京都,Women Gray Tシャツ A S,トップス,Women,Gray,S,8900
201901100012-2,2019-01-10,C00001449,JA-AWWL,1,31900,2019-01-15,,配達済み,榊原 智美,さかきばら ともみ,1979-12-10,女,東京都,Women White ジャケット A L,アウター,Women,White,L,31900
201901100001-1,2019-01-10,C00000107,BP-CUNN,1,12900,2019-01-13,,配達済み,小松 翼,こまつ つばさ,1980-01-24,男,福岡県,バックパック C,バッグ,Unisex,,,12900
201901100008-1,2019-01-10,C00001064,HA-BUNN,1,4800,2019-01-16,,配達済み,松本 裕紀,まつもと ひろのり,1993-01-25,女,東京都,帽子 B,小物,Unisex,,,4800
201901100012-3,2019-01-10,C00001449,PA-CWWM,1,14300,2019-01-16,,配達済み,榊原 智美,さかきばら ともみ,1979-12-10,女,東京都,Women White パンツ C M,ボトムス,Women,White,M,14300
201901100008-2,2019-01-10,C00001064,SW-AWWM,1,17600,2019-01-15,,配達済み,松本 裕紀,まつもと ひろのり,1993-01-25,女,東京都,Women White セーター A M,トップス,Women,White,M,17600
201901110029-1,2019-01-11,C00002114,HA-AUNN,1,5280,2019-01-17,,配達済み,引地 陽子,ひきち ようこ,2002-03-20,女,東京都,帽子 A,小物,Unisex,,,5280
201901110018-1,2019-01-11,C00001021,NI-CMWS,1,12300,2019-01-17,,配達済み,村山 正尚,むらやま まさなお,1987-01-27,男,神奈川県,Men White ニット C S,トップス,Men,White,S,12300
201901110020-1,2019-01-11,C00001435,HA-AUNN,1,5280,2019-01-18,,配達済み,上村 浩文,うえむら ひろふみ,1984-08-31,男,埼玉県,帽子 A,小物,Unisex,,,5280
201901110022-1,2019-01-11,C00001613,BP-AUNN,1,10200,2019-01-14,,配達済み,清水 弘毅,しみず こうき,2004-02-22,男,東京都,バックパック A,バッグ,Unisex,,,10200
201901110019-1,2019-01-11,C00001349,SW-BWGM,1,15900,2019-01-17,,配達済み,北風 早智,きたかぜ さち,2000-07-19,女,東京都,Women Gray セーター B M,トップス,Women,Gray,M,15900
201901110005-1,2019-01-11,C00000303,SK-AWBL,1,18100,2019-01-14,,配達済み,高倉 春奈,たかくら はるな,2005-04-12,女,東京都,Women Black スカート A L,ボトムス,Women,Black,L,18100
201901110017-1,2019-01-11,C00001012,TB-AUNN,1,7800,2019-01-15,,配達済み,中村 綾子,なかむら あやこ,2002-06-22,女,京都府,トートバッグ A,バッグ,Unisex,,,7800
201901110007-1,2019-01-11,C00000398,PA-BWBM,3,59400,2019-01-14,,配達済み,相羽 智美,あいば ともみ,1978-10-09,女,千葉県,Women Black パンツ B M,ボトムス,Women,Black,M,19800
201901110002-1,2019-01-11,C00000188,JA-BWWM,1,21000,2019-01-16,,配達済み,田村 真沙美,たむら まさみ,1986-11-28,女,東京都,Women White ジャケット B M,アウター,Women,White,M,21000
201901110025-1,2019-01-11,C00002093,VE-AWGM,1,18900,2019-01-16,,配達済み,冨永 由香,とみなが ゆか,1981-09-26,女,東京都,Women Gray ベスト A M,アウター,Women,Gray,M,18900
201901110024-1,2019-01-11,C00001851,HC-BUNN,3,2940,2019-01-16,,配達済み,関 勇太,せき ゆうた,1988-03-03,男,新潟県,ハンカチ B,小物,Unisex,,,980
201901110023-1,2019-01-11,C00001767,PA-BWBL,1,19800,2019-01-14,2019-01-28,キャンセル,渡部 愛,わたなべ あい,2001-08-08,女,宮城県,Women Black パンツ B L,ボトムス,Women,Black,L,19800
201901110030-1,2019-01-11,C00002126,HC-BUNN,1,980,2019-01-14,,配達済み,岩井 いずみ,いわい いずみ,1994-02-12,女,東京都,ハンカチ B,小物,Unisex,,,980
201901110010-1,2019-01-11,C00000424,PA-CMBL,1,14300,2019-01-16,,配達済み,牧原 将人,まきはら まさと,2003-11-27,男,北海道,Men Black パンツ C L,ボトムス,Men,Black,L,14300
201901110016-1,2019-01-11,C00000802,TB-BUNN,1,9800,2019-01-17,,配達済み,栗原 美由紀,くりはら みゆき,1981-10-10,女,宮城県,トートバッグ B,バッグ,Unisex,,,9800
201901110006-1,2019-01-11,C00000361,TS-BMBM,1,8700,2019-01-14,,配達済み,船越 太輔,ふなこし たすけ,1999-10-07,男,三重県,Men Black Tシャツ B M,トップス,Men,Black,M,8700
201901120005-1,2019-01-12,C00002211,SK-AWWM,3,54300,2019-01-17,2019-01-19,キャンセル,岩瀬 綾子,いわせ あやこ,1979-06-12,女,東京都,Women White スカート A M,ボトムス,Women,White,M,18100
201901120004-1,2019-01-12,C00001994,PA-AMWL,1,16500,2019-01-17,,配達済み,南出 大樹,みなみで たいき,1999-07-30,男,東京都,Men White パンツ A L,ボトムス,Men,White,L,16500
201901120001-2,2019-01-12,C00001328,TS-AWGS,4,35600,2019-01-18,2019-01-19,キャンセル,松山 麻由子,まつやま まゆこ,1993-10-30,女,東京都,Women Gray Tシャツ A S,トップス,Women,Gray,S,8900
201901120001-1,2019-01-12,C00001328,TO-AUNN,1,2280,2019-01-19,2019-01-19,キャンセル,松山 麻由子,まつやま まゆこ,1993-10-30,女,東京都,タオル A,小物,Unisex,,,2280
201901130002-1,2019-01-13,C00000617,PA-BMBM,4,80000,2019-01-17,,配達済み,大塚 千秋,おおつか ちあき,1989-12-10,女,東京都,Men Black パンツ B M,ボトムス,Men,Black,M,20000
201901130001-1,2019-01-13,C00000339,NI-CWWM,1,12400,2019-01-18,,配達済み,谷山 恵理子,たにやま えりこ,1974-02-08,女,東京都,Women White ニット C M,トップス,Women,White,M,12400
201901130003-1,2019-01-13,C00001963,BP-BUNN,1,9800,2019-01-18,,配達済み,矢野 賢一,やの けんいち,1980-02-12,男,山口県,バックパック B,バッグ,Unisex,,,9800
201901160005-1,2019-01-16,C00000188,SB-CUNN,1,5890,2019-01-22,,配達済み,田村 真沙美,たむら まさみ,1986-11-28,女,東京都,ショルダーバッグ C,バッグ,Unisex,,,5890
201901160010-1,2019-01-16,C00000557,NI-CMWM,1,12300,2019-01-21,,配達済み,永津 達也,ながつ たつや,1972-10-08,男,神奈川県,Men White ニット C M,トップス,Men,White,M,12300
201901160008-1,2019-01-16,C00000335,PA-AMWS,1,16500,2019-01-18,,配達済み,奥 淳,おく じゅん,1987-04-26,男,東京都,Men White パンツ A S,ボトムス,Men,White,S,16500
201901160018-1,2019-01-16,C00001569,JA-BWWM,1,21000,2019-01-20,,配達済み,中野 由貴,なかの よしたか,1995-10-27,女,兵庫県,Women White ジャケット B M,アウター,Women,White,M,21000
201901160001-1,2019-01-16,C00000118,TS-BMWS,1,8700,2019-01-21,,配達済み,鎌田 麻子,かまた あさこ,1998-09-29,女,福岡県,Men White Tシャツ B S,トップス,Men,White,S,8700
201901160020-1,2019-01-16,C00001604,PA-CMGS,1,14300,2019-01-25,,配達済み,出町 光昭,でまち みつあき,1999-10-22,男,東京都,Men Gray パンツ C S,ボトムス,Men,Gray,S,14300
201901160015-1,2019-01-16,C00000810,PA-BMWL,1,20000,2019-01-20,,配達済み,松本 良浩,まつもと よしひろ,1990-05-26,男,東京都,Men White パンツ B L,ボトムス,Men,White,L,20000
201901160012-1,2019-01-16,C00000661,JA-BWGL,1,21000,2019-01-24,,配達済み,山崎 友香子,やまざき ゆかこ,1972-10-18,女,東京都,Women Gray ジャケット B L,アウター,Women,Gray,L,21000
201901160022-1,2019-01-16,C00002011,SK-AWBM,1,18100,2019-01-24,,配達済み,廣瀬 太郎,ひろせ たろう,1997-11-01,女,神奈川県,Women Black スカート A M,ボトムス,Women,Black,M,18100
201901160016-1,2019-01-16,C00001115,HA-AUNN,1,5280,2019-01-20,,配達済み,江木 彩子,えぎ さいこ,1986-08-13,女,宮城県,帽子 A,小物,Unisex,,,5280
201901160007-1,2019-01-16,C00000201,SW-BMGM,1,15900,2019-01-19,,配達済み,伊藤 史子,いとう ふみこ,1992-02-01,女,東京都,Men Gray セーター B M,トップス,Men,Gray,M,15900
201901160021-1,2019-01-16,C00001795,NI-BWBS,1,15100,2019-01-19,,配達済み,岡田 祥子,おかだ しょうこ,1974-09-25,女,茨城県,Women Black ニット B S,トップス,Women,Black,S,15100
201901180002-1,2019-01-18,C00000067,PA-BMGM,1,20000,2019-01-22,,配達済み,飯島 伸彦,いいじま のぶひこ,1999-03-29,男,宮城県,Men Gray パンツ B M,ボトムス,Men,Gray,M,20000
201901180013-1,2019-01-18,C00001177,TB-AUNN,1,7800,2019-01-23,,配達済み,杉浦 富士子,すぎうら ふじこ,1987-08-07,女,千葉県,トートバッグ A,バッグ,Unisex,,,7800
201901180010-1,2019-01-18,C00000506,PA-BMGM,2,40000,2019-01-23,,配達済み,田中 泰宏,たなか やすひろ,1985-08-29,男,大阪府,Men Gray パンツ B M,ボトムス,Men,Gray,M,20000
